2024-09-26 01:44:35,878 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-26 01:44:35,879 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Configure stats pid to 2352
2024-09-26 01:44:35,879 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Loading settings from C:\Users\prana\.config\wandb\settings
2024-09-26 01:44:35,879 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Loading settings from C:\Users\prana\Documents\Python_Stuff\Ariel-Data-Challenge-2024\wandb\settings
2024-09-26 01:44:35,879 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-26 01:44:35,879 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'C:\\Users\\prana\\Documents\\Python_Stuff\\Ariel-Data-Challenge-2024\\main.py', 'program': 'C:\\Users\\prana\\Documents\\Python_Stuff\\Ariel-Data-Challenge-2024\\main.py'}
2024-09-26 01:44:35,890 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-26 01:44:35,890 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-26 01:44:35,890 INFO    MainThread:2352 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-26 01:44:35,890 INFO    MainThread:2352 [wandb_init.py:_log_setup():532] Logging user logs to C:\Users\prana\Documents\Python_Stuff\Ariel-Data-Challenge-2024\wandb\run-20240926_014435-wh1dz7pf\logs\debug.log
2024-09-26 01:44:35,890 INFO    MainThread:2352 [wandb_init.py:_log_setup():533] Logging internal logs to C:\Users\prana\Documents\Python_Stuff\Ariel-Data-Challenge-2024\wandb\run-20240926_014435-wh1dz7pf\logs\debug-internal.log
2024-09-26 01:44:35,891 INFO    MainThread:2352 [wandb_init.py:init():616] calling init triggers
2024-09-26 01:44:35,891 INFO    MainThread:2352 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-09-26 01:44:35,891 INFO    MainThread:2352 [wandb_init.py:init():666] starting backend
2024-09-26 01:44:35,891 INFO    MainThread:2352 [wandb_init.py:init():670] setting up manager
2024-09-26 01:44:35,893 INFO    MainThread:2352 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-26 01:44:35,895 INFO    MainThread:2352 [wandb_init.py:init():678] backend started and connected
2024-09-26 01:44:35,898 INFO    MainThread:2352 [wandb_init.py:init():773] updated telemetry
2024-09-26 01:44:35,938 INFO    MainThread:2352 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-26 01:44:36,489 INFO    MainThread:2352 [wandb_init.py:init():857] starting run threads in backend
2024-09-26 01:44:36,592 INFO    MainThread:2352 [wandb_run.py:_console_start():2459] atexit reg
2024-09-26 01:44:36,592 INFO    MainThread:2352 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-26 01:44:36,593 INFO    MainThread:2352 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-26 01:44:36,593 INFO    MainThread:2352 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-26 01:44:36,596 INFO    MainThread:2352 [wandb_init.py:init():900] run started, returning control to user process
2024-09-26 01:44:36,596 INFO    MainThread:2352 [wandb_run.py:_config_callback():1388] config_cb None None {'learning_rate': 0.001, 'epochs': 5}
2024-09-26 01:44:36,596 INFO    MainThread:2352 [wandb_watch.py:watch():51] Watching
2024-09-26 01:45:28,245 WARNING MsgRouterThr:2352 [router.py:message_loop():77] message_loop has been closed
